date,category,amount,memo
2022/07/24,その他,¥120,スティックノリ(TOEIC写真貼る用)
2022/07/24,その他,¥100,水
2022/07/24,その他,¥900,TOEIC用写真(写真証明機)
2022/07/24,旅費交通費,¥377,電車（海老名→淵野辺）
2022/07/25,自己投資,¥270,コメダ珈琲
2022/07/25,自己投資,"¥9,826",書籍（エンジニア4冊）
2022/07/26,旅費交通費,¥130,電車（海老名→本厚木）
2022/07/26,その他,"¥3,890",アイペット損害保険
2022/07/26,その他,"¥246,300",不動産取得税
2022/07/26,水道光熱費,"¥4,121",ガス料金（6月分）
2022/07/26,水道光熱費,"¥4,331",水道料金(6月分)
2022/07/26,飲食費,¥521,コンビニ飯
2022/07/26,自己投資,¥413,スタバ
2022/07/26,自己投資,"¥1,480",Udemy
2022/07/26,水道光熱費,"¥4,331",水道料金(7月分)
2022/07/27,水道光熱費,"¥9,592",電気代(7月分)
2022/07/27,自己投資,¥390,スタバ
2022/07/27,自己投資,¥270,コメダ珈琲
2022/07/27,自己投資,"¥6,710",書籍（チーム関連）
2022/07/27,借金,"¥8,100",日本学生支援機構
2022/07/28,飲食費,¥53,コンビニ飯
2022/07/28,自己投資,¥462,スタバ
2022/07/28,その他,¥880,ウォーターサーバー
2022/07/28,自己投資,¥270,コメダ珈琲
2022/07/29,その他,"¥6,950",美容院カット
2022/07/29,その他,¥120,LINE漫画
2022/07/29,飲食費,¥259,アイスコンビニ飯
2022/07/30,その他,¥158,菜々子喉薬
2022/07/30,その他,¥200,コンビニ 菜々子のど飴
2022/07/30,自己投資,¥390,スタバ
2022/07/30,自己投資,¥270,コメダ珈琲
2022/07/30,飲食費,¥350,すき家
2022/07/31,水道光熱費,"¥4,020",東京ガス7月分
2022/07/31,飲食費,¥264,コンビニ
2022/07/31,その他,¥600,印鑑証明書
2022/07/31,飲食費,"¥4,821",すき焼き食材
2022/07/31,自己投資,"¥1,210",コメダ珈琲
2022/07/31,自己投資,"¥7,810",トイック試験
2022/08/01,飲食費,¥120,水
2022/08/01,飲食費,¥390,スタバ
2022/08/01,飲食費,¥790,コメダ珈琲
2022/08/02,飲食費,¥438,エクセシオールcafe
2022/08/02,自己投資,"¥3,278",スタサプ(英語学習アプリ)
2022/08/02,飲食費,¥220,水
2022/08/02,自己投資,"¥1,760",英語学習本
2022/08/02,飲食費,¥709,スタバ
2022/08/02,旅費交通費,"¥1,236",電車 海老名→センター南→海老名
2022/08/03,飲食費,¥784,コンビニ
2022/08/03,飲食費,¥165,スタバ
2022/08/03,飲食費,¥460,スタバ
2022/08/03,飲食費,¥790,コメダ珈琲
2022/08/04,飲食費,"¥1,840",映画 ポップコーン
2022/08/04,飲食費,¥790,コメダ珈琲
2022/08/04,その他,"¥6,600",映画 ジュラシックワールド
2022/08/05,飲食費,¥429,スタバ
2022/08/05,その他,"¥1,584",ワンピース漫画
2022/08/05,自己投資,"¥8,130",PYQ
2022/08/06,飲食費,¥120,水
2022/08/06,自己投資,¥880,英語用ノートボールペン
2022/08/06,飲食費,¥651,スタバ
2022/08/06,飲食費,"¥4,860",食費
2022/08/07,その他,¥610,漫画LINE
2022/08/07,飲食費,¥120,水
2022/08/07,その他,"¥4,339",Apple Watch充電器
2022/08/07,飲食費,"¥1,172",スタバ
2022/08/07,飲食費,¥390,スタバ
2022/08/07,飲食費,¥350,すき家
2022/08/08,飲食費,¥120,水
2022/08/08,飲食費,¥950,スタバ
2022/08/09,飲食費,"¥1,439",スタバ
2022/08/10,住宅,"¥100,000",中目黒家賃
2022/08/10,旅費交通費,¥492,センター南→中目黒
2022/08/10,飲食費,"¥2,948",鎌倉パスタたつき
2022/08/10,飲食費,¥438,エクセシオールカフェ
2022/08/10,その他,¥880,ウォーターサーバー
2022/08/10,飲食費,¥120,忍者飯梅
2022/08/10,飲食費,¥390,スタバ
2022/08/10,旅費交通費,¥618,海老名→センター南
2022/08/11,飲食費,¥382,コンビニ飯
2022/08/11,飲食費,¥390,スタバ
2022/08/11,飲食費,¥456,コンビニ飯
2022/08/11,旅費交通費,¥492,中目黒→センター南
2022/08/12,自己投資,"¥23,789",書籍
2022/08/12,飲食費,¥462,スタバ
2022/08/12,飲食費,¥730,スタバ
2022/08/12,飲食費,¥641,スタバ
2022/08/12,その他,¥580,タバコ菜々子
2022/08/12,借金,"¥7,095",ペイディー
2022/08/13,飲食費,¥641,スタバ
2022/08/13,飲食費,¥390,コメダ
2022/08/13,飲食費,"¥6,907",パーティ前夜祭
2022/08/14,旅費交通費,"¥1,700",菜々子引越し高速
2022/08/14,飲食費,"¥1,283",食費
2022/08/14,その他,"¥11,550",菜々子引っ越しレンタカー
2022/08/14,旅費交通費,"¥1,851",引っ越しガソリンレンタカー
2022/08/14,飲食費,¥390,スタバ
2022/08/15,飲食費,¥400,自動販売機
2022/08/15,その他,"¥12,200",ホテルビスタ
2022/08/15,飲食費,¥165,スタバ
2022/08/15,飲食費,¥120,水
2022/08/15,飲食費,¥936,スタバ
2022/08/15,通信費,"¥15,219",スマホ7月分
2022/08/16,その他,"¥8,100",コストコ会員費更新
2022/08/16,飲食費,"¥8,085",コストコ食材費
2022/08/16,飲食費,"¥2,080",コストコフードコート
2022/08/16,飲食費,¥876,エクセシオールcafe
2022/08/16,飲食費,¥402,コンビニ飯
2022/08/16,借金,"¥100,982",会社前払金
2022/08/17,飲食費,"¥11,730",爺ちゃん誕生日
2022/08/17,飲食費,"¥1,650",すき家
2022/08/18,飲食費,¥135,スタバ
2022/08/18,飲食費,¥120,水
2022/08/18,飲食費,¥390,スタバ
2022/08/19,飲食費,¥390,スタバ
2022/08/19,飲食費,"¥5,600",コメチケ
2022/08/19,飲食費,¥390,すき家
2022/08/20,飲食費,¥470,クレープ
2022/08/20,飲食費,¥390,スタバ
2022/08/20,飲食費,¥270,コメダ珈琲
2022/08/20,その他,"¥2,800",映画ONE PIECE RED
